x_mm,y_mm,z_mm
175.95354801531371,-101.68844630216036,0.0
176.77756167817085,-101.12424839118748,0.0
177.60073376561246,-100.55882331500999,0.0
178.42306925195675,-99.99218220006811,0.0
179.2445730710944,-99.4243360208469,0.0
180.06525011674924,-98.8552956025454,0.0
180.88510524274278,-98.28507162368977,0.0
181.70414326326204,-97.71367461869049,0.0
182.52236895313075,-97.1411149803457,0.0
183.33978704808237,-96.56740296229216,0.0
184.15640224503682,-95.99254868140389,0.0
184.97221920237848,-95.41656212014144,0.0
185.7872425402363,-94.8394531288519,0.0
186.60147684076588,-94.26123142802086,0.0
187.4149266484328,-93.68190661047797,0.0
188.22759647029716,-93.10148814355685,0.0
189.03949077629932,-92.51998537121051,0.0
189.85061399954617,-91.93740751608348,0.0
190.66097053659797,-91.35376368154178,0.0
191.4705647477564,-90.76906285366093,0.0
192.2794009573521,-90.18331390317383,0.0
193.08748345403245,-89.59652558737993,0.0
193.89481649105016,-89.00870655201425,0.0
194.70140428655012,-88.41986533308129,0.0
195.50725102385823,-87.83001035864862,0.0
196.31236085176812,-87.23914995060845,0.0
197.11673788482994,-86.6472923264056,0.0
197.92038620364502,-86.05444560073948,0.0
198.72330985516183,-85.46061778723512,0.0
199.52551285297005,-84.86581680008071,0.0
200.32699917759376,-84.27005045563308,0.0
201.12777277678373,-83.67332647399047,0.0
201.9278375658071,-83.07565248053518,0.0
202.72719742773603,-82.47703600744521,0.0
203.52585621373595,-81.87748449517636,0.0
204.32381774334982,-81.27700529391564,0.0
205.12108580478255,-80.67560566500596,0.0
205.9176641551835,-80.07329278234324,0.0
206.71355652092626,-79.47007373374662,0.0
207.50876659788716,-78.86595552230214,0.0
208.3032980517224,-78.2609450676807,0.0
209.0971545181424,-77.65504920743032,0.0
209.89033960318451,-77.0482746982447,0.0
210.68285688348422,-76.44062821720635,0.0
211.47470990654358,-75.83211636300724,0.0
212.26590219099847,-75.22274565714584,0.0
213.05643722688325,-74.61252254510165,0.0
213.84631847589304,-74.0014533974879,0.0
214.63554937164548,-73.38954451118228,0.0
215.424133319938,-72.77680211043743,0.0
216.21207369900517,-72.16323234796945,0.0
216.99937385977304,-71.54884130602758,0.0
217.786037126111,-70.93363499744328,0.0
218.57206679508195,-70.31761936666067,0.0
219.3574661371909,-69.70080029074718,0.0
220.14223839663015,-69.08318358038673,0.0
220.9263867915231,-68.46477498085409,0.0
221.70991451416612,-67.84558017297202,0.0
222.4928247312676,-67.2256047740508,0.0
223.2751205841857,-66.60485433881085,0.0
224.05680518916284,-65.98333436028908,0.0
224.83788163755952,-65.3610502707283,0.0
225.61835299608413,-64.73800744245193,0.0
226.3982223070225,-64.11421118872173,0.0
227.1774925884644,-63.489666764581465,0.0
227.95616683452766,-62.86437936768497,0.0
228.7342480155806,-62.23835413911015,0.0
229.5117390784624,-61.61159616415817,0.0
230.28864294670177,-60.984110473138756,0.0
231.0649625207315,-60.35590204214269,0.0
231.84070067810424,-59.726975793798935,0.0
232.61586027370345,-59.097336598020746,0.0
